channel,video_id,title,url,source,vtt_path,txt_path,bytes,status
exurb1a,qE0UimODxNg,"10,000 More Years of the Scientific Method",https://www.youtube.com/watch?v=qE0UimODxNg,HACKER097/exurbia-video-finder public VTT archive,"transcripts/exurb1a/archive_hacker097/vtt/10,000 More Years of the Scientific Method-qE0UimODxNg.en.vtt","transcripts/exurb1a/archive_hacker097/text/10,000 More Years of the Scientific Method-qE0UimODxNg.en.txt",17819,archived
exurb1a,dLRLYPiaAoA,27,https://www.youtube.com/watch?v=dLRLYPiaAoA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/27-dLRLYPiaAoA.en.vtt,transcripts/exurb1a/archive_hacker097/text/27-dLRLYPiaAoA.en.txt,8971,archived
exurb1a,PIPifhMlFBQ,A Dictionary for Your Twenties,https://www.youtube.com/watch?v=PIPifhMlFBQ,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/A Dictionary for Your Twenties-PIPifhMlFBQ.en.vtt,transcripts/exurb1a/archive_hacker097/text/A Dictionary for Your Twenties-PIPifhMlFBQ.en.txt,11242,archived
exurb1a,k5RH3BdXDOY,A Guide to Worrying,https://www.youtube.com/watch?v=k5RH3BdXDOY,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/A Guide to Worrying-k5RH3BdXDOY.en.vtt,transcripts/exurb1a/archive_hacker097/text/A Guide to Worrying-k5RH3BdXDOY.en.txt,6654,archived
exurb1a,jW23TeqMiXk,A Shit History of Dune,https://www.youtube.com/watch?v=jW23TeqMiXk,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/A Shit History of Dune-jW23TeqMiXk.en.vtt,transcripts/exurb1a/archive_hacker097/text/A Shit History of Dune-jW23TeqMiXk.en.txt,7328,archived
exurb1a,lArXlincfNA,A Song About Rockets,https://www.youtube.com/watch?v=lArXlincfNA,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/A Song About Rockets-lArXlincfNA.en.vtt,transcripts/exurb1a/archive_hacker097/text/A Song About Rockets-lArXlincfNA.en.txt,6724,archived
exurb1a,HDuCfTcVmE4,A Tour of Academia,https://www.youtube.com/watch?v=HDuCfTcVmE4,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/A Tour of Academia-HDuCfTcVmE4.en.vtt,transcripts/exurb1a/archive_hacker097/text/A Tour of Academia-HDuCfTcVmE4.en.txt,6625,archived
exurb1a,E0J2LObdT-g,Advice to Undergraduates,https://www.youtube.com/watch?v=E0J2LObdT-g,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Advice to Undergraduates-E0J2LObdT-g.en.vtt,transcripts/exurb1a/archive_hacker097/text/Advice to Undergraduates-E0J2LObdT-g.en.txt,9087,archived
exurb1a,2y_gOT-f7bw,An Open Letter from Exurb1a to YouTube,https://www.youtube.com/watch?v=2y_gOT-f7bw,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/An Open Letter from Exurb1a to YouTube-2y_gOT-f7bw.en.vtt,transcripts/exurb1a/archive_hacker097/text/An Open Letter from Exurb1a to YouTube-2y_gOT-f7bw.en.txt,922,archived
exurb1a,tJ7LdrAqL0Y,And Nothing Can Ever Ruin This,https://www.youtube.com/watch?v=tJ7LdrAqL0Y,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/And Nothing Can Ever Ruin This-tJ7LdrAqL0Y.en.vtt,transcripts/exurb1a/archive_hacker097/text/And Nothing Can Ever Ruin This-tJ7LdrAqL0Y.en.txt,15250,archived
exurb1a,7g1pmHSWHe0,and then we'll be okay,https://www.youtube.com/watch?v=7g1pmHSWHe0,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/and then we'll be okay-7g1pmHSWHe0.en.vtt,transcripts/exurb1a/archive_hacker097/text/and then we'll be okay-7g1pmHSWHe0.en.txt,31729,archived
exurb1a,p7293jJxUhg,Are We Living In A Simulation,https://www.youtube.com/watch?v=p7293jJxUhg,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Are We Living In A Simulation-p7293jJxUhg.en.vtt,transcripts/exurb1a/archive_hacker097/text/Are We Living In A Simulation-p7293jJxUhg.en.txt,6716,archived
exurb1a,3N5lgUgAQ-g,Bear and Goose at the End of Everything,https://www.youtube.com/watch?v=3N5lgUgAQ-g,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Bear and Goose at the End of Everything-3N5lgUgAQ-g.en.vtt,transcripts/exurb1a/archive_hacker097/text/Bear and Goose at the End of Everything-3N5lgUgAQ-g.en.txt,9336,archived
exurb1a,QT5lgrs2fK4,Britain Leaving the EU - For and Against,https://www.youtube.com/watch?v=QT5lgrs2fK4,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Britain Leaving the EU - For and Against-QT5lgrs2fK4.en.vtt,transcripts/exurb1a/archive_hacker097/text/Britain Leaving the EU - For and Against-QT5lgrs2fK4.en.txt,9037,archived
exurb1a,CdUCndZfEzQ,Continue to Next Level,https://www.youtube.com/watch?v=CdUCndZfEzQ,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Continue to Next Level-CdUCndZfEzQ.en.vtt,transcripts/exurb1a/archive_hacker097/text/Continue to Next Level-CdUCndZfEzQ.en.txt,10896,archived
exurb1a,VpHyLG-sc4g,Digital Hygiene - How We Might've Fucked Our Attention Spans,https://www.youtube.com/watch?v=VpHyLG-sc4g,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Digital Hygiene - How We Might've Fucked Our Attention Spans-VpHyLG-sc4g.en.vtt,transcripts/exurb1a/archive_hacker097/text/Digital Hygiene - How We Might've Fucked Our Attention Spans-VpHyLG-sc4g.en.txt,9089,archived
exurb1a,_qCyw1XhNYI,Fear of Flying,https://www.youtube.com/watch?v=_qCyw1XhNYI,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/Fear of Flying-_qCyw1XhNYI.en.vtt,transcripts/exurb1a/archive_hacker097/text/Fear of Flying-_qCyw1XhNYI.en.txt,2706,archived
exurb1a,k4P0YKeB_pM,"Feelings, Pictures, and Ideas - A very simple theory of why good stories are good",https://www.youtube.com/watch?v=k4P0YKeB_pM,HACKER097/exurbia-video-finder public VTT archive,"transcripts/exurb1a/archive_hacker097/vtt/Feelings, Pictures, and Ideas - A very simple theory of why good stories are good-k4P0YKeB_pM.en.vtt","transcripts/exurb1a/archive_hacker097/text/Feelings, Pictures, and Ideas - A very simple theory of why good stories are good-k4P0YKeB_pM.en.txt",9382,archived
exurb1a,F6SrOpYT6lw,First Contact,https://www.youtube.com/watch?v=F6SrOpYT6lw,HACKER097/exurbia-video-finder public VTT archive,transcripts/exurb1a/archive_hacker097/vtt/First Contact-F6SrOpYT6lw.en.vtt,transcripts/exurb1a/archive_hacker097/text/First Contact-F6SrOpYT6lw.en.txt,7274,archived
